"adj_rand" "est" "T" "seed"
0.0740740740740741 "MaxPEAR" 0.9 2015
0.0740740740740741 "MaxPEAR" 0.95 2015
0.0740740740740741 "MaxPEAR" 1 2015
0.102564102564103 "MaxPEAR" 0.05 2016
0.102564102564103 "MaxPEAR" 0.1 2016
0.102564102564103 "MaxPEAR" 0.15 2016
0.102564102564103 "MaxPEAR" 0.2 2016
0.318181818181818 "MaxPEAR" 0.25 2016
0.21315570358035 "MaxPEAR" 0.3 2016
0.102564102564103 "MaxPEAR" 0.35 2016
0.21315570358035 "MaxPEAR" 0.4 2016
0.396284829721362 "MaxPEAR" 0.45 2016
0.102564102564103 "MaxPEAR" 0.5 2016
0.21315570358035 "MaxPEAR" 0.55 2016
0.21315570358035 "MaxPEAR" 0.6 2016
0.21315570358035 "MaxPEAR" 0.65 2016
0.21315570358035 "MaxPEAR" 0.7 2016
0.21315570358035 "MaxPEAR" 0.75 2016
0.21315570358035 "MaxPEAR" 0.8 2016
0.21315570358035 "MaxPEAR" 0.85 2016
0.102564102564103 "MaxPEAR" 0.9 2016
0.21315570358035 "MaxPEAR" 0.95 2016
0.21315570358035 "MaxPEAR" 1 2016
0.184397163120567 "MaxPEAR" 0.05 2017
0.184397163120567 "MaxPEAR" 0.1 2017
0.184397163120567 "MaxPEAR" 0.15 2017
0.184397163120567 "MaxPEAR" 0.2 2017
0.184397163120567 "MaxPEAR" 0.25 2017
0.184397163120567 "MaxPEAR" 0.3 2017
0.184397163120567 "MaxPEAR" 0.35 2017
0.184397163120567 "MaxPEAR" 0.4 2017
0.184397163120567 "MaxPEAR" 0.45 2017
0.184397163120567 "MaxPEAR" 0.5 2017
0.184397163120567 "MaxPEAR" 0.55 2017
0.184397163120567 "MaxPEAR" 0.6 2017
0.184397163120567 "MaxPEAR" 0.65 2017
0.184397163120567 "MaxPEAR" 0.7 2017
0.184397163120567 "MaxPEAR" 0.75 2017
0.184397163120567 "MaxPEAR" 0.8 2017
0.184397163120567 "MaxPEAR" 0.85 2017
0.184397163120567 "MaxPEAR" 0.9 2017
0.184397163120567 "MaxPEAR" 0.95 2017
0.184397163120567 "MaxPEAR" 1 2017
0.39893143365984 "MaxPEAR" 0.05 2018
0.39893143365984 "MaxPEAR" 0.1 2018
0.39893143365984 "MaxPEAR" 0.15 2018
0.39893143365984 "MaxPEAR" 0.2 2018
0.39893143365984 "MaxPEAR" 0.25 2018
0.39893143365984 "MaxPEAR" 0.3 2018
0.39893143365984 "MaxPEAR" 0.35 2018
0.39893143365984 "MaxPEAR" 0.4 2018
0.39893143365984 "MaxPEAR" 0.45 2018
0.39893143365984 "MaxPEAR" 0.5 2018
0.39893143365984 "MaxPEAR" 0.55 2018
0.39893143365984 "MaxPEAR" 0.6 2018
0.39893143365984 "MaxPEAR" 0.65 2018
0.39893143365984 "MaxPEAR" 0.7 2018
0.39893143365984 "MaxPEAR" 0.75 2018
0.39893143365984 "MaxPEAR" 0.8 2018
0.39893143365984 "MaxPEAR" 0.85 2018
0.39893143365984 "MaxPEAR" 0.9 2018
0.39893143365984 "MaxPEAR" 0.95 2018
0.39893143365984 "MaxPEAR" 1 2018
0.773413897280967 "MaxPEAR" 0.05 2019
0.466727438468551 "MaxPEAR" 0.1 2019
0.466727438468551 "MaxPEAR" 0.15 2019
0.466727438468551 "MaxPEAR" 0.2 2019
0.466727438468551 "MaxPEAR" 0.25 2019
0.466727438468551 "MaxPEAR" 0.3 2019
