"n_clust" "T"
4.85341465853415 0.01
5.84911508849115 0.02
5.13968603139686 0.03
5.08759124087591 0.04
5.60753924607539 0.05
6.23287671232877 0.06
6.44785521447855 0.07
6.55794420557944 0.08
6.50594940505949 0.09
6.37536246375362 0.1
6.34796520347965 0.11
6.42595740425957 0.12
6.42915708429157 0.13
6.64743525647435 0.14
6.58044195580442 0.15
6.4948505149485 0.16
6.46925307469253 0.17
6.55404459554045 0.18
7.01879812018798 0.19
6.44845515448455 0.2
6.75222477752225 0.21
6.43375662433757 0.22
6.36816318368163 0.23
6.58874112588741 0.24
6.41945805419458 0.25
6.61333866613339 0.26
6.32106789321068 0.27
6.68353164683532 0.28
6.62323767623238 0.29
6.40925907409259 0.3
6.47125287471253 0.31
6.43925607439256 0.32
6.45085491450855 0.33
6.66283371662834 0.34
6.57724227577242 0.35
6.56854314568543 0.36
6.55924407559244 0.37
6.35366463353665 0.38
6.4007599240076 0.39
6.43365663433657 0.4
6.59174082591741 0.41
6.41155884411559 0.42
6.67603239676032 0.43
6.48865113488651 0.44
6.48885111488851 0.45
6.38566143385661 0.46
6.8961103889611 0.47
6.41495850414958 0.48
6.6965303469653 0.49
6.46745325467453 0.5
6.62493750624937 0.51
6.63413658634137 0.52
6.72112788721128 0.53
6.53614638536146 0.54
6.44605539446055 0.55
6.45045495450455 0.56
6.47505249475052 0.57
6.34236576342366 0.58
6.34286571342866 0.59
6.5985401459854 0.6
6.89171082891711 0.61
6.39476052394761 0.62
6.55714428557144 0.63
6.54514548545145 0.64
6.39196080391961 0.65
6.41265873412659 0.66
6.66273372662734 0.67
6.80781921807819 0.68
6.58894110588941 0.69
6.67483251674833 0.7
6.58734126587341 0.71
6.80821917808219 0.72
6.31686831316868 0.73
6.6014398560144 0.74
6.50794920507949 0.75
6.56164383561644 0.76
6.47095290470953 0.77
6.57194280571943 0.78
6.42395760423958 0.79
6.59114088591141 0.8
6.41295870412959 0.81
6.72082791720828 0.82
6.80951904809519 0.83
6.3989601039896 0.84
6.45775422457754 0.85
6.65843415658434 0.86
6.61673832616738 0.87
6.67553244675532 0.88
6.80601939806019 0.89
6.44815518448155 0.9
6.53184681531847 0.91
7.10898910108989 0.92
6.86381361863814 0.93
6.45075492450755 0.94
6.5958404159584 0.95
6.45125487451255 0.96
6.66333366663334 0.97
6.43865613438656 0.98
6.58334166583342 0.99
6.52824717528247 1
