"avg_dens" "T" "part"
504.108685353062 152.5 "same cluster"
504.080154281771 154.5 "same cluster"
504.087986733972 156.5 "same cluster"
504.070800620165 158.5 "same cluster"
504.075950822012 160.5 "same cluster"
504.054965948289 162.5 "same cluster"
504.072840234072 164.5 "same cluster"
504.09242864605 166.5 "same cluster"
504.079382503671 168.5 "same cluster"
504.085184700949 170.5 "same cluster"
504.074597147627 172.5 "same cluster"
504.071824359009 174.5 "same cluster"
504.057532744372 176.5 "same cluster"
504.08158481244 178.5 "same cluster"
504.089607646868 180.5 "same cluster"
504.098413963765 182.5 "same cluster"
504.094826113338 184.5 "same cluster"
504.094678395421 186.5 "same cluster"
504.090411681727 188.5 "same cluster"
504.102507165471 190.5 "same cluster"
504.109666680938 192.5 "same cluster"
504.116289822451 194.5 "same cluster"
504.107180503216 196.5 "same cluster"
504.067450374702 198.5 "same cluster"
504.081294477615 200.5 "same cluster"
501.982674125865 0.5 "random from prior"
504.71183251095 2.5 "random from prior"
504.681355924276 4.5 "random from prior"
504.860645689324 6.5 "random from prior"
504.544289279563 8.5 "random from prior"
504.262222106573 10.5 "random from prior"
504.369031023606 12.5 "random from prior"
504.526121054487 14.5 "random from prior"
504.403390875902 16.5 "random from prior"
504.310851849029 18.5 "random from prior"
504.363102410903 20.5 "random from prior"
504.324138410675 22.5 "random from prior"
504.534777735184 24.5 "random from prior"
504.484208643767 26.5 "random from prior"
504.432273187382 28.5 "random from prior"
504.449471064395 30.5 "random from prior"
504.501313578079 32.5 "random from prior"
504.518301497767 34.5 "random from prior"
504.475448821261 36.5 "random from prior"
504.53377918747 38.5 "random from prior"
504.555274048035 40.5 "random from prior"
504.539343568714 42.5 "random from prior"
504.539504697898 44.5 "random from prior"
504.600589935749 46.5 "random from prior"
504.556922626745 48.5 "random from prior"
504.519505884612 50.5 "random from prior"
504.465801857349 52.5 "random from prior"
504.458116757321 54.5 "random from prior"
504.449401356051 56.5 "random from prior"
504.459863432822 58.5 "random from prior"
504.410031254439 60.5 "random from prior"
504.376789529035 62.5 "random from prior"
504.338082622944 64.5 "random from prior"
504.330453089068 66.5 "random from prior"
504.284445276699 68.5 "random from prior"
504.302973262779 70.5 "random from prior"
504.317351642369 72.5 "random from prior"
504.353318352018 74.5 "random from prior"
504.369263888284 76.5 "random from prior"
504.30864410765 78.5 "random from prior"
504.279100814476 80.5 "random from prior"
504.263745562879 82.5 "random from prior"
504.21397254785 84.5 "random from prior"
504.180627166928 86.5 "random from prior"
504.162250237485 88.5 "random from prior"
504.173589332797 90.5 "random from prior"
504.124357892294 92.5 "random from prior"
504.127853297725 94.5 "random from prior"
504.146097709614 96.5 "random from prior"
504.155097066032 98.5 "random from prior"
504.170649016522 100.5 "random from prior"
504.161150464707 102.5 "random from prior"
504.193685191814 104.5 "random from prior"
504.214508245828 106.5 "random from prior"
504.216217753576 108.5 "random from prior"
504.226819881781 110.5 "random from prior"
504.260474345582 112.5 "random from prior"
504.231108871665 114.5 "random from prior"
504.230196780987 116.5 "random from prior"
504.238982092098 118.5 "random from prior"
504.257073862507 120.5 "random from prior"
504.255220936283 122.5 "random from prior"
504.232136480445 124.5 "random from prior"
504.212384660426 126.5 "random from prior"
504.201859150252 128.5 "random from prior"
504.173672541748 130.5 "random from prior"
504.156349023919 132.5 "random from prior"
504.168721678457 134.5 "random from prior"
504.158524965845 136.5 "random from prior"
504.149068616697 138.5 "random from prior"
504.13650961439 140.5 "random from prior"
504.143764051398 142.5 "random from prior"
504.135337210362 144.5 "random from prior"
504.109221385855 146.5 "random from prior"
504.108712831581 148.5 "random from prior"
504.107508854573 150.5 "random from prior"
504.110731053635 152.5 "random from prior"
504.08920651977 154.5 "random from prior"
504.092734743921 156.5 "random from prior"
504.071060327398 158.5 "random from prior"
504.084858800002 160.5 "random from prior"
504.060443608253 162.5 "random from prior"
504.076805202553 164.5 "random from prior"
504.096649795492 166.5 "random from prior"
504.089222805069 168.5 "random from prior"
504.089233581162 170.5 "random from prior"
504.081270544728 172.5 "random from prior"
504.073613571574 174.5 "random from prior"
504.067962574303 176.5 "random from prior"
504.087596174052 178.5 "random from prior"
504.088045604332 180.5 "random from prior"
504.104244076736 182.5 "random from prior"
504.104613996152 184.5 "random from prior"
504.104410877564 186.5 "random from prior"
504.095812797099 188.5 "random from prior"
504.109459553771 190.5 "random from prior"
504.118057490335 192.5 "random from prior"
504.120420717428 194.5 "random from prior"
504.112699149308 196.5 "random from prior"
504.078627572197 198.5 "random from prior"
504.087404430985 200.5 "random from prior"
